epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1537,0.48656,3.73669,0.89529,0.00382,0.34436,0.06982,0.06603,0.30199,3.83007,0.81269,4.444e-05,4.444e-05,4.444e-05
2,44.7965,0.47539,3.39754,0.87536,0.01181,0.72339,0.1892,0.18293,0.32742,3.66332,0.80378,9.66903e-05,9.66903e-05,9.66903e-05
3,65.7033,0.51302,2.80413,0.88101,0.01079,1,0.24429,0.21936,0.39713,3.40745,0.80124,0.000145274,0.000145274,0.000145274
4,86.5918,0.51737,2.32398,0.90802,0.01,1,0.27647,0.24764,0.42985,3.3116,0.7985,0.000190192,0.000190192,0.000190192
5,106.61,0.51675,2.16594,0.89471,0.00972,1,0.41135,0.37378,0.40464,3.20836,0.79189,0.000231444,0.000231444,0.000231444
6,126.962,0.47127,1.96017,0.87098,0.00975,1,0.46805,0.43474,0.40903,3.12412,0.79358,0.000269029,0.000269029,0.000269029
7,147.18,0.48891,1.8604,0.86531,0.11019,1,0.52785,0.46962,0.46351,3.04045,0.80402,0.000302947,0.000302947,0.000302947
8,167.128,0.5052,1.55944,0.86563,0.89892,0.11429,0.55989,0.5103,0.43389,2.97878,0.79727,0.0003332,0.0003332,0.0003332
9,187.132,0.52041,1.53667,0.88676,0.97136,0.11639,0.58712,0.54422,0.37953,2.92228,0.79434,0.000359786,0.000359786,0.000359786
10,207.185,0.50814,1.62874,0.89725,0.99488,0.16577,0.62684,0.56362,0.40894,2.85712,0.80156,0.000382706,0.000382706,0.000382706
11,227.495,0.48023,1.37319,0.88253,1,0.22139,0.63374,0.58258,0.40926,2.77958,0.80268,0.00040196,0.00040196,0.00040196
12,247.929,0.53814,1.32077,0.90782,0.70768,0.3287,0.65269,0.59451,0.43579,2.61808,0.80374,0.000417547,0.000417547,0.000417547
13,268.454,0.53946,1.2641,0.88421,0.94487,0.38823,0.66009,0.60462,0.40764,2.59468,0.80144,0.000429468,0.000429468,0.000429468
14,289.131,0.4905,1.12925,0.85978,0.70395,0.44343,0.696,0.64147,0.41675,2.45716,0.80482,0.000437723,0.000437723,0.000437723
15,311.079,0.45805,1.1557,0.84553,0.63547,0.46908,0.72379,0.66146,0.43357,2.3204,0.80607,0.000442311,0.000442311,0.000442311
16,331.374,0.4842,1.13933,0.87837,0.67578,0.518,0.755,0.69682,0.41063,2.18805,0.80614,0.000443233,0.000443233,0.000443233
17,351.292,0.42794,1.05136,0.83509,0.90726,0.63786,0.87612,0.825,0.38122,2.02356,0.80229,0.000440489,0.000440489,0.000440489
18,371.21,0.42743,0.96698,0.85386,0.79179,0.60333,0.83506,0.78212,0.36725,1.95342,0.79876,0.000434079,0.000434079,0.000434079
19,391.069,0.44733,0.92287,0.84157,0.73462,0.64129,0.83771,0.78302,0.36366,1.87291,0.79921,0.000424002,0.000424002,0.000424002
20,410.891,0.46782,1.05656,0.88759,0.87361,0.69472,0.93959,0.86758,0.36413,1.68266,0.80749,0.000410259,0.000410259,0.000410259
21,430.859,0.3902,1.04439,0.80982,0.83918,0.66157,0.93114,0.85989,0.35974,1.73009,0.80729,0.00037774,0.00037774,0.00037774
22,450.437,0.38619,1.02892,0.8072,0.84556,0.79677,0.93312,0.87476,0.35723,1.75621,0.80825,0.000341077,0.000341077,0.000341077
23,470.086,0.36975,1.02941,0.80305,0.95127,0.89219,0.98334,0.929,0.33529,1.63798,0.80598,0.000304414,0.000304414,0.000304414
24,489.756,0.3734,1.01946,0.81973,0.95197,0.95785,0.991,0.94065,0.33657,1.30541,0.80525,0.000267751,0.000267751,0.000267751
25,509.511,0.40047,0.99838,0.83425,0.96083,0.94861,0.991,0.93609,0.33672,1.22135,0.80579,0.000231088,0.000231088,0.000231088
26,529.286,0.382,0.93675,0.81222,0.95757,0.95129,0.995,0.93901,0.32635,1.18339,0.80577,0.000194425,0.000194425,0.000194425
27,549.475,0.35117,0.94756,0.83149,0.96043,0.95041,0.995,0.94275,0.3183,1.14612,0.80638,0.000157762,0.000157762,0.000157762
28,569.324,0.35051,0.99436,0.80259,0.94583,0.98421,0.995,0.95781,0.30652,1.0418,0.80627,0.000121099,0.000121099,0.000121099
29,589.541,0.34427,0.98293,0.80225,0.94689,0.99345,0.995,0.95708,0.3021,0.99513,0.80562,8.4436e-05,8.4436e-05,8.4436e-05
30,609.239,0.33266,0.99611,0.79941,0.95621,0.99565,0.995,0.95748,0.29878,0.96031,0.80513,4.7773e-05,4.7773e-05,4.7773e-05
