epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.34617,0.75073,3.14766,1.02989,0.02651,0.82857,0.17354,0.15496,0.5301,3.32595,0.91544,0,0,0
2,4.68288,0.77884,3.2425,1.02737,0.02616,0.82857,0.18357,0.16782,0.51863,3.31824,0.91428,1.07434e-05,1.07434e-05,1.07434e-05
3,6.71448,0.73707,3.18508,1.04213,0.02729,0.82857,0.19485,0.17816,0.51127,3.31124,0.90871,2.07535e-05,2.07535e-05,2.07535e-05
4,8.89765,0.76291,3.21537,1.08471,0.02784,0.82857,0.22744,0.20812,0.51008,3.30379,0.90302,3.00303e-05,3.00303e-05,3.00303e-05
5,11.1124,0.76241,3.06997,1.07076,0.02944,0.85714,0.23663,0.21232,0.518,3.28675,0.90038,3.85739e-05,3.85739e-05,3.85739e-05
6,13.5369,0.56875,3.1061,0.98068,0.0306,0.88571,0.24205,0.21536,0.53717,3.267,0.90047,4.63843e-05,4.63843e-05,4.63843e-05
7,15.6151,0.65673,3.38657,0.94778,0.03074,0.88571,0.2576,0.22434,0.5373,3.25077,0.89248,5.34613e-05,5.34613e-05,5.34613e-05
8,17.6748,0.67675,3.37997,0.92362,0.03169,0.91429,0.27588,0.2384,0.55477,3.21812,0.88498,5.98051e-05,5.98051e-05,5.98051e-05
9,19.8353,0.66645,3.10433,0.95965,0.03367,0.97143,0.27434,0.23337,0.53857,3.19573,0.87335,6.54157e-05,6.54157e-05,6.54157e-05
10,22.1752,0.61369,2.97557,0.96048,0.03575,1,0.28521,0.24912,0.52379,3.18319,0.86876,7.0293e-05,7.0293e-05,7.0293e-05
11,24.5424,0.54916,2.91276,0.95668,0.0349,1,0.28134,0.2444,0.51027,3.16621,0.86118,7.4437e-05,7.4437e-05,7.4437e-05
12,26.5616,0.63209,3.01249,0.92034,0.0338,1,0.28315,0.24732,0.49224,3.15762,0.85799,7.78478e-05,7.78478e-05,7.78478e-05
13,28.5348,0.69126,2.96381,0.96894,0.03399,1,0.28139,0.25304,0.47852,3.14217,0.85099,8.05253e-05,8.05253e-05,8.05253e-05
14,30.6088,0.64078,2.84783,1.01122,0.03497,1,0.28013,0.25298,0.47038,3.12563,0.84936,8.24695e-05,8.24695e-05,8.24695e-05
15,32.5869,0.61107,2.84298,1.00495,0.03714,1,0.28756,0.25968,0.46796,3.1129,0.84501,8.36805e-05,8.36805e-05,8.36805e-05
16,34.7023,0.73486,2.81609,1.00023,0.03694,1,0.28721,0.25754,0.46713,3.10215,0.84466,8.41583e-05,8.41583e-05,8.41583e-05
17,36.7144,0.6056,2.74165,0.93889,0.03634,1,0.30247,0.27214,0.47008,3.0919,0.84592,8.39027e-05,8.39027e-05,8.39027e-05
18,39.2712,0.59392,2.71771,0.91875,0.03634,1,0.30247,0.27214,0.47008,3.0919,0.84592,8.29139e-05,8.29139e-05,8.29139e-05
19,41.4513,0.59473,2.76412,0.94146,0.03677,1,0.29795,0.26699,0.47364,3.07398,0.84481,8.11919e-05,8.11919e-05,8.11919e-05
20,43.4729,0.63018,2.69107,1.01319,0.03677,1,0.29795,0.26699,0.47364,3.07398,0.84481,7.87366e-05,7.87366e-05,7.87366e-05
21,45.5151,0.49054,2.46568,0.88267,0.03592,1,0.29963,0.26784,0.47392,3.06168,0.84569,7.5548e-05,7.5548e-05,7.5548e-05
22,47.5849,0.51083,2.35823,0.84313,0.03592,1,0.29963,0.26784,0.47392,3.06168,0.84569,7.16262e-05,7.16262e-05,7.16262e-05
23,49.6476,0.47221,2.3757,0.87625,0.03573,1,0.29131,0.26047,0.47197,3.04752,0.84454,6.69711e-05,6.69711e-05,6.69711e-05
24,51.5767,0.54527,2.27093,0.87293,0.03573,1,0.29131,0.26047,0.47197,3.04752,0.84454,6.15827e-05,6.15827e-05,6.15827e-05
25,53.5434,0.5768,2.35468,0.87822,0.03494,1,0.30878,0.27671,0.47022,3.03271,0.84215,5.54611e-05,5.54611e-05,5.54611e-05
26,56.5417,0.56648,2.21667,0.8345,0.03494,1,0.30878,0.27671,0.47022,3.03271,0.84215,4.86062e-05,4.86062e-05,4.86062e-05
27,58.9712,0.50502,2.28227,0.84799,0.0345,1,0.30627,0.27453,0.47023,3.01841,0.83883,4.10181e-05,4.10181e-05,4.10181e-05
28,61.4481,0.49533,2.30956,0.87786,0.0345,1,0.30627,0.27453,0.47023,3.01841,0.83883,3.26967e-05,3.26967e-05,3.26967e-05
29,63.4867,0.44666,2.21626,0.87202,0.03547,1,0.32488,0.29171,0.46119,3.0068,0.83636,2.36421e-05,2.36421e-05,2.36421e-05
30,65.7229,0.51481,2.23469,0.86506,0.03547,1,0.32488,0.29171,0.46119,3.0068,0.83636,1.38542e-05,1.38542e-05,1.38542e-05
